job,acti,lr,lr_type,decay,batch_size,epochs,v_acc,t_acc
train,rrr,0.01,steplr,1.00E-05,128,20,87.36666667,85.86
train,rrr,0.001,steplr,1.00E-05,128,20,82.08888889,81.09
train,rrr,0.1,steplr,0,128,40,88.87777778,87.7
train,rrr,0.01,steplr,0,128,40,87.93333333,86.74
train,rrr,0.001,steplr,0,128,40,83.52222222,82.67
train,rrr,0.01,steplr,0,128,40,87.95,86.55
train,rr,0.01,steplr,0,128,40,86.73333333,85.89
train,rrrr,0.01,steplr,0,128,40,88.03888889,86.56
train,rrrB,0.01,steplr,0,128,40,87.8333333,87
train,rrrM,0.01,steplr,0,128,40,87.33333333,86.5
train,rrr,0.01,steplr,0,128,40,87.95,86.55
train,rrr,0.01,steplr,0,128,40,87.95,86.55
train,rrr,0.01,steplr,0.001,128,40,77.65555556,75.93
train,rrr,0.01,steplr,0.0001,128,40,85.65,84.55
train,sss,0.01,steplr,1.00E-05,128,40,64.26666667,63.05
train,rrr,0.01,steplr,1.00E-05,128,40,87.83888889,86.67
train,rrr,0.01,steplr,1.00E-06,128,40,87.91111111,86.59
train,rrr,0.01,steplr,1.00E-05,256,40,86.91111111,85.71
train,rrr,0.01,steplr,1.00E-05,512,40,85.53888889,84.49
train,rrr,0.01,steplr,1.00E-05,169,40,87.42222222,86.25
train,rrr,0.01,steplr,1.00E-05,126,40,87.87222222,86.62
train,rrr,0.01,steplr,1.00E-05,64,40,88.52777778,87.26
train,rrr,0.01,steplr,1.00E-05,32,40,88.88888889,87.89
train,rrr,0.01,steplr,1.00E-05,16,40,88.83888889,87.66
train,rrr,0.1,steplr,1.00E-05,32,60,88.37777778,87.3
train,rrr,0.1,steplr,1.00E-05,32,60,89.5,88.6
train,rrr,0.1,steplr,1.00E-06,32,60,89.44444444,88.57
train,rrr,0.01,steplr,1e-05,32,40,88.96111111111111,87.64999999999999
train,rrr,0.01,explr,1e-05,32,40,87.87222222222222,86.79
test,rrr,0.01,explr,1e-05,32,40,0,86.79
train,rrr,0.01,explr,1e-05,32,40,87.87222222222222,86.79
train,rrr,0.01,explr,1e-05,32,40,88.88888888888889,87.89
